City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
11,Bubaque,GW,79.3,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
13,Hirado,JP,77.4,moderate rain,33.3597,129.5531,Samson Hotel
16,La Grande,US,80.01,clear sky,45.3246,-118.0877,Travelodge by Wyndham La Grande
22,Buala,SB,85.12,light rain,-8.145,159.5921,Maringe Lagoon Lodge
31,Mae Hong Son,TH,76.42,light rain,19.3003,97.9685,Baiyoke Chalet Hotel
34,Kailua,US,86.02,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
36,Riachao,BR,77.34,scattered clouds,-7.3619,-46.6172,Pousada Nordestina
37,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
41,Sioux Lookout,CA,84.4,scattered clouds,50.1001,-91.917,Knobby's Fly-In Camps
43,Cayenne,GF,79.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
46,Sola,VU,81.03,scattered clouds,-13.8833,167.55,Leumerus Bungalows
49,Nador,MA,77.25,clear sky,35.174,-2.9287,Hôtel La Giralda
53,Butaritari,KI,82.36,few clouds,3.0707,172.7902,Isles Sunset Lodge
59,Portland,US,82.56,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
60,Victoria,HK,88.18,overcast clouds,22.2855,114.1577,Mini Central
66,Nurota,UZ,78.87,clear sky,40.5614,65.6886,Guest House Ruslan Nurata & Tours
67,Atuona,PF,77.36,scattered clouds,-9.8,-139.0333,Villa Enata
69,Bambanglipuro,ID,75.76,broken clouds,-7.95,110.2833,Puri Brata
70,Hithadhoo,MV,81.84,overcast clouds,-0.6,73.0833,Scoop Guest House
75,Makat,KZ,85.8,clear sky,47.6469,53.3463,Umit
80,Nago,JP,88.23,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
85,Sabang,ID,82.51,scattered clouds,5.8933,95.3214,Hotel Citra
88,Sorong,ID,78.6,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
91,Melfort,CA,78.6,broken clouds,52.8667,-104.6177,Carra Valla Inn
95,Georgetown,MY,78.73,scattered clouds,5.4112,100.3354,Cititel Penang
96,Kirkwood,US,87.55,few clouds,38.5834,-90.4068,"Holiday Inn St Louis SW - Route 66, an IHG Hotel"
100,Shimoda,JP,77.11,light rain,34.6667,138.95,Shimoda Tokyu Hotel
103,Thompson,CA,83.03,scattered clouds,55.7435,-97.8558,Burntwood Hotel
105,Liverpool,GB,80.62,clear sky,53.4106,-2.9779,Premier Inn Liverpool City Centre (Moorfields) hotel
107,Freeport,US,80.58,few clouds,40.6576,-73.5832,The Freeport Inn and Marina
108,Komsomolskiy,UZ,77.72,clear sky,40.4272,71.7189,Ikathouse
109,Bengkulu,ID,75.58,clear sky,-3.8004,102.2655,Grage Hotel Bengkulu
114,Katsuura,JP,80.62,light rain,35.1333,140.3,Katsuura Hotel Mikazuki
121,Vuyyuru,IN,79.56,overcast clouds,16.3667,80.85,RAMA CHANDRA REST HOUSE
125,Naifaru,MV,82.29,overcast clouds,5.4444,73.3657,Naifaru Residence Guest House
126,Bethel,US,76.05,scattered clouds,41.3712,-73.414,Courtyard by Marriott Danbury
131,Sidi Ali,DZ,75.31,clear sky,36.0998,0.4206,Complexe touristique haje bezine
133,Buraydah,SA,87.12,clear sky,26.326,43.975,Mövenpick Qassim
136,Uribia,CO,82.71,broken clouds,11.7139,-72.266,Hotel Uribia
139,Kapaa,US,85.98,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
143,Kahului,US,87.82,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
146,Kavieng,PG,84.4,light rain,-2.5744,150.7967,Nusa Island Retreat
151,Faanui,PF,76.87,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
160,Rawlins,US,75.09,broken clouds,41.7911,-107.2387,"Holiday Inn Express Rawlins, an IHG Hotel"
166,Marsh Harbour,BS,83.32,clear sky,26.5412,-77.0636,Abaco Beach Resort
168,Riyadh,SA,89.74,scattered clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
169,Panalingaan,PH,79.74,overcast clouds,8.7842,117.4231,I Love Panalingaan View Deck
171,Lorengau,PG,82.4,moderate rain,-2.0226,147.2712,Lorengau Harbourside Hotel
180,Tautira,PF,76.35,few clouds,-17.7333,-149.15,Pension Oaoa
186,Mana,GF,78.58,scattered clouds,5.6592,-53.7767,LE SAMANA
188,Dalbandin,PK,84.92,scattered clouds,28.8947,64.4101,Sanjrani House
190,Bahia Honda,CU,83.35,clear sky,22.9036,-83.1592,Casa Gualberto - Deysi
192,Kranuan,TH,85.51,overcast clouds,16.7067,103.0788,Castle Howchow Beach Resort Hotel
194,Sinnamary,GF,78.67,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
199,Kupang,ID,75.83,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
201,Vanimo,PG,79.48,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
204,Lakatoro,VU,81.95,scattered clouds,-16.0999,167.4164,Lakatoro Palm Lodge
210,Wanning,CN,84.33,overcast clouds,18.8003,110.3967,Paradise Hotel
213,La Ferte-Bernard,FR,85.62,clear sky,48.1863,0.6536,Brit Hotel La Ferté-Bernard
214,Tomatlan,MX,85.26,overcast clouds,19.9333,-105.25,El Salvial
217,Carutapera,BR,77.07,broken clouds,-1.195,-46.02,Lidera
218,Ormara,PK,83.07,broken clouds,25.2088,64.6357,Kenara Colony House for Rent
220,Conceicao Do Araguaia,BR,75.97,clear sky,-8.2578,-49.2647,Tarumã Tropical Hotel
221,Shaoyang,CN,75.87,overcast clouds,27.2315,111.4525,IU Hotel Shaoyang Xihu Road
223,Luksuhin,PH,78.58,broken clouds,14.0967,120.8808,Hillcreek Gardens Tagaytay
226,Ocos,GT,86.18,broken clouds,14.5094,-92.1933,Auto Hotel El Soñador
231,Santarem,BR,80.73,broken clouds,-2.4431,-54.7083,Hotel Imperador
