City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Severo-Kurilsk,RU,50.6789,156.125,56.34,88,99,9.84,overcast clouds
1,Busselton,AU,-33.65,115.3333,51.26,84,0,7.67,clear sky
2,Hobart,AU,-42.8794,147.3294,46.26,83,75,11.5,broken clouds
3,Killin,US,33.6123,-91.7412,93.29,52,0,5.75,clear sky
4,Padang,ID,-0.9492,100.3543,69.85,73,39,4.05,scattered clouds
5,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,59.59,94,100,6.71,overcast clouds
6,Mahebourg,MU,-20.4081,57.7,67.24,66,56,24.25,light rain
7,Bredasdorp,ZA,-34.5322,20.0403,53.89,86,100,1.92,overcast clouds
8,Barrow,US,71.2906,-156.7887,42.82,81,100,18.41,light rain
9,Provideniya,RU,64.3833,-173.3,44.71,81,75,18.01,broken clouds
10,Punta Arenas,CL,-53.15,-70.9167,39.11,86,86,31.12,light rain
11,Bubaque,GW,11.2833,-15.8333,79.3,85,99,10.67,light rain
12,Ambanja,MG,-13.6833,48.45,64.29,62,39,5.14,scattered clouds
13,Hirado,JP,33.3597,129.5531,77.4,91,96,21.52,moderate rain
14,San Luis,AR,-33.295,-66.3356,45.46,38,9,11.79,clear sky
15,Fraserburgh,GB,57.6874,-2.0184,70.43,79,63,3.47,broken clouds
16,La Grande,US,45.3246,-118.0877,80.01,31,0,7.52,clear sky
17,Morondava,MG,-20.2833,44.2833,69.49,54,0,13.44,clear sky
18,Nanortalik,GL,60.1432,-45.2371,46.96,80,72,6.62,broken clouds
19,La Trinidad,PH,16.455,120.5875,69.13,78,95,1.52,overcast clouds
20,Magdagachi,RU,53.45,125.8,72.82,69,100,4.88,overcast clouds
21,Ilulissat,GL,69.2167,-51.1,48.22,66,20,4.61,few clouds
22,Buala,SB,-8.145,159.5921,85.12,66,36,6.91,light rain
23,Mareeba,AU,-17.0,145.4333,70.48,76,2,3.62,clear sky
24,Erzurum,TR,40.0,41.5,56.88,88,19,4.7,few clouds
25,Viedma,AR,-40.8135,-62.9967,43.09,38,56,8.88,broken clouds
